sentiment_neg,sentiment_pos,text_length,target
0.4466013610363006,0.553398609161377,828,0
0.9452829360961914,0.0547170229256153,879,0
0.0143619030714035,0.9856380820274352,776,1
0.9493760466575624,0.0506239682435989,846,1
0.0027135256677865,0.9972864389419556,943,1
0.0780288204550743,0.9219711422920228,843,1
0.075747475028038,0.9242525100708008,703,1
0.0020702378824353,0.9979298114776612,330,0
0.0047550373710691,0.9952449202537536,809,1
0.2945308983325958,0.7054691314697266,240,0
0.8895748257637024,0.11042520403862,1263,1
0.002443877281621,0.9975560903549194,946,1
0.0019942219369113,0.9980058073997498,463,1
0.1766993105411529,0.8233006596565247,861,1
0.0213772598654031,0.9786226749420166,327,0
0.8949976563453674,0.1050023362040519,999,1
0.7259253263473511,0.2740746736526489,839,1
0.9555628299713136,0.044437225908041,594,1
0.0037367248442023,0.996263325214386,333,0
0.0008340865606442,0.9991658926010132,362,0
0.3969429433345794,0.6030570268630981,909,1
0.0002416188217466,0.9997584223747252,415,0
0.7498780488967896,0.2501220107078552,471,0
0.9864545464515686,0.0135454516857862,352,0
0.0043758521787822,0.9956241250038148,757,1
0.0007990801241248,0.9992008805274964,435,0
0.001810452202335,0.9981895089149476,722,1
0.0132959214970469,0.9867041110992432,918,1
0.92116516828537,0.0788347944617271,632,0
0.2022082209587097,0.7977917790412903,1002,1
0.0066093602217733,0.993390679359436,673,1
0.0013598876539617,0.9986401200294496,346,0
0.1200089827179908,0.8799910545349121,654,1
0.008837723173201,0.9911623001098632,375,0
0.3815288543701172,0.6184711456298828,824,1
0.4513691365718841,0.5486308336257935,386,0
0.9954434633255004,0.0045564984902739,393,0
0.5931456089019775,0.4068544209003448,399,0
0.0088545540347695,0.9911454319953918,860,1
0.0006410420755855,0.9993589520454408,379,0
0.027402076870203,0.9725978970527648,456,0
0.0012714705662801,0.998728573322296,281,0
0.9877740740776062,0.0122259249910712,423,0
0.7901414036750793,0.209858626127243,864,0
0.000475147011457,0.9995248317718506,203,0
0.9970653653144836,0.0029346980154514,282,0
0.9978920817375184,0.0021079829894006,431,0
0.0003913964901585,0.99960857629776,298,0
0.3377722501754761,0.6622276902198792,790,1
0.3129754960536957,0.6870245337486267,259,0
0.0020342920906841,0.997965693473816,905,1
0.6875333786010742,0.3124665915966034,1073,0
0.9980902075767516,0.0019097714684903,545,1
0.0034463854972273,0.9965536594390868,887,1
0.0046923304907977,0.9953076243400574,323,0
0.0062468722462654,0.9937531352043152,809,1
0.9773637056350708,0.0226363036781549,721,1
0.0052463789470493,0.99475359916687,358,0
0.002146374201402,0.9978535771369934,680,1
0.0018787258304655,0.9981212019920348,288,0
0.0111844148486852,0.9888155460357666,402,0
0.9857536554336548,0.0142462709918618,703,0
0.0086903925985097,0.991309642791748,225,0
0.0004946538829244,0.9995052814483644,556,0
0.9801812767982484,0.0198187176138162,696,0
0.0020955987274646,0.9979044198989868,441,0
0.8951829075813293,0.1048170253634452,628,0
0.129145085811615,0.8708549737930298,303,0
